Country,HDI,LEI,CEI,GNI
Portugal,0.805,79.06,7.65,23920
Russia,0.747,67.416,12.8,18270
Mauritius,0.722,73.001,8.6,12940
Ghana,0.527,60.375,6.5,1530
Croatia,0.793,76.353,10.95,19040
Brazil,0.708,72.846,7.0,10180
Switzerland,0.899,82.032,13.05,46740
Estonia,0.828,73.915,11.399999999999999,19230
New Zealand,0.906,80.501,12.4,28280
Malaysia,0.752,74.306,8.0,13450
Finland,0.877,79.783,12.05,36270
Ireland,0.905,79.924,11.35,33140
Benin,0.422,58.56,2.6500000000000004,1570
Lesotho,0.44,46.729,7.15,1990
Namibia,0.617,61.543,6.9,6100
Swaziland,0.515,47.94,7.3,5570
Saudi Arabia,0.763,74.617,6.75,22550
Algeria,0.691,70.477,4.45,8240
Bahamas,0.769,74.587,10.65,30990
Maldives,0.65,76.324,3.75,7430
Romania,0.778,73.324,11.85,14630
Belgium,0.883,79.807,12.0,36490
Kazakhstan,0.733,65.96,11.9,10080
Morocco,0.575,70.012,3.6,4400
Indonesia,0.607,69.951,6.699999999999999,3910
Cambodia,0.513,70.315,4.300000000000001,1970
Germany,0.9,80.07800038,12.2,36800
Georgia,0.724,73.743,12.5,4700
Papua New Guinea,0.457,61.805,4.050000000000001,2290
Bahrain,0.805,76.062,8.45,21180
Liberia,0.32,58.884,4.050000000000001,420
Equatorial Guinea,0.534,50.915,6.1,25960
Ethiopia,0.353,60.617,1.65,950
Jordan,0.694,73.233,9.6,5880
Australia,0.926,81.937,11.7,37970
Togo,0.429,55.189,3.75,960
Serbia,0.761,73.532,10.4,10900
China,0.674,74.718,7.050000000000001,6820
Japan,0.895,82.932,12.2,32970
Trinidad and Tobago,0.755,69.438,9.649999999999999,24230
Slovenia,0.876,78.922,11.85,26630
Chile,0.798,78.936,10.149999999999999,14200
Guinea-Bissau,0.348,53.34,2.1,1140
Iran,0.703,72.769,6.199999999999999,11400
Luxembourg,0.863,79.81,11.3,55710
"Macedonia, FYR",0.725,74.587,10.2,11130
Suriname,0.674,70.036,7.4,7570
Paraguay,0.651,71.919,7.050000000000001,4400
Greece,0.863,80.055,10.399999999999999,28670
Sudan,0.403,61.258,4.35,2000
Singapore,0.856,81.561,7.1,52120
Nicaragua,0.582,73.488,5.75,2550
Sao Tome and Principe,0.503,65.747,4.85,1890
Iraq,0.565,68.649,4.95,3500
Niger,0.285,56.44,1.05,680
United Kingdom,0.86,79.913,13.0,34960
Guyana,0.624,65.56,9.350000000000001,3240
Argentina,0.788,75.592,9.95,14110
South Africa,0.61,53.615,8.5,10040
Sweden,0.898,81.282,12.600000000000001,38040
Albania,0.734,76.598,9.8,8560
Cyprus,0.837,79.193,12.05,30750
Netherlands,0.905,80.445,11.600000000000001,40050
Cape Verde,0.564,73.733,4.25,3560
Syria,0.63,74.795,6.25,5040
Latvia,0.798,71.736,12.45,17210
Haiti,0.449,61.427,4.05,1170
Nepal,0.449,66.66,2.75,1160
Lithuania,0.802,71.526,12.4,17360
Norway,0.941,80.882,13.6,55010
Sierra Leone,0.329,44.508,2.35,790
Poland,0.807,75.739,12.4,18210
Philippines,0.636,68.046,9.0,3690
Belarus,0.746,69.468,11.75,12430
Malawi,0.387,52.75,4.55,830
Mongolia,0.642,66.564,9.1,3630
Timor-Leste,0.487,65.393,2.55,4410
Ecuador,0.716,75.396,8.3,7530
Guatemala,0.569,70.783,4.45,4560
Mauritania,0.447,60.902,2.3,2400
Samoa,0.685,71.992,10.95,4120
Madagascar,0.483,62.937,4.95,960
Canada,0.903,80.814,14.2,37260
Mali,0.352,53.358,1.4,980
Montenegro,0.768,74.348,11.149999999999999,12870
Burkina Faso,0.326,54.634,1.25,1190
Hungary,0.811,74.081,11.2,19270
Turkmenistan,0.677,64.862,11.15,7040
Venezuela,0.732,73.991,8.75,12300
Nigeria,0.449,50.839,5.4,2040
Zambia,0.419,53.137,6.35,1300
Vietnam,0.584,75.344,7.5,2840
Tunisia,0.692,74.918,6.3,8690
Angola,0.481,50.286,3.9499999999999997,5130
Chad,0.323,49.332,1.7000000000000002,1260
Uganda,0.438,56.514,4.9,1210
Peru,0.714,73.609,9.0,8390
Thailand,0.673,73.627,6.85,7550
Mexico,0.762,76.605,7.95,13590
United Arab Emirates,0.841,76.144,8.9,50200
Afghanistan,0.387,59.124,1.5,1000
Armenia,0.712,74.191,11.3,5380
Mozambique,0.312,48.862,2.65,840
Qatar,0.818,77.826,7.85,71970
Honduras,0.619,72.537,5.800000000000001,3690
Cameroon,0.475,53.288,5.4,2220
El Salvador,0.669,71.643,6.95,6330
Jamaica,0.724,72.638,10.100000000000001,7360
Rwanda,0.419,61.342,3.4499999999999997,1090
Ukraine,0.72,68.076,12.149999999999999,6190
Pakistan,0.499,65.944,3.9000000000000004,2660
Austria,0.879,80.392,11.4,38570
Tonga,0.701,72.061,11.4,4590
Egypt,0.638,70.256,6.6,5890
Tajikistan,0.6,66.642,11.0,2000
Solomon Islands,0.504,66.787,5.6,2010
Guinea,0.341,54.95,2.0,960
Comoros,0.43,59.999,3.1999999999999997,1080
Bolivia,0.656,66.048,7.550000000000001,4480
Bosnia and Herzegovina,0.73,75.75,8.45,8900
Lebanon,0.733,78.77,8.65,12950
"Congo, Rep.",0.523,56.609,6.699999999999999,2870
Kenya,0.499,58.649,6.75,1580
Moldova,0.638,68.425,11.25,3020
Oman,0.703,75.424,5.85,24870
Botswana,0.626,46.441,5.65,12900
Slovak Republic,0.829,74.89,12.45,21340
Israel,0.884,81.105,12.5,24810
Uzbekistan,0.631,67.756,11.600000000000001,2940
Seychelles,0.767,72.598,10.85,21120
