,Country,HDI,LEI,MEI,WEI,GNI
0,Afghanistan,0.387,59.123999999999995,2.6,0.4,1000.0
1,Albania,0.7340000000000001,76.598,10.2,9.4,8560.0
2,Algeria,0.691,70.477,4.7,4.2,8240.0
3,Angola,0.48100000000000004,50.286,5.1,2.8,5130.0
4,Argentina,0.7879999999999999,75.592,9.8,10.1,14110.0
5,Armenia,0.7120000000000001,74.191,11.3,11.3,5380.0
6,Australia,0.9259999999999999,81.93700000000001,11.9,11.5,37970.0
7,Austria,0.879,80.392,11.8,11.0,38570.0
8,Bahamas,0.769,74.587,10.5,10.8,30990.0
9,Bahrain,0.805,76.062,9.1,7.8,21180.0
10,Bangladesh,0.491,69.046,4.7,2.6,1700.0
11,Belarus,0.746,69.468,11.8,11.7,12430.0
12,Belgium,0.883,79.807,12.1,11.9,36490.0
13,Belize,0.696,73.01100000000001,8.5,8.3,6070.0
14,Benin,0.42200000000000004,58.56,3.7,1.6,1570.0
15,Bolivia,0.6559999999999999,66.048,8.4,6.7,4480.0
16,Bosnia and Herzegovina,0.73,75.75,9.4,7.5,8900.0
17,Botswana,0.626,46.441,5.3,6.0,12900.0
18,Brazil,0.708,72.846,6.8,7.2,10180.0
19,Bulgaria,0.7659999999999999,73.132,11.8,12.0,13250.0
20,Burkina Faso,0.326,54.63399999999999,1.7,0.8,1190.0
21,Burundi,0.308,52.111999999999995,3.5,2.0,570.0
22,Cambodia,0.513,70.315,5.4,3.2,1970.0
23,Cameroon,0.475,53.288000000000004,6.6,4.2,2220.0
24,Canada,0.903,80.814,14.2,14.2,37260.0
25,Cape Verde,0.564,73.733,5.0,3.5,3560.0
26,Chad,0.32299999999999995,49.332,2.7,0.7,1260.0
27,Chile,0.7979999999999999,78.936,10.2,10.1,14200.0
28,China,0.674,74.718,7.7,6.4,6820.0
29,Colombia,0.7020000000000001,73.21300000000001,6.6,6.4,8710.0
30,Comoros,0.43,59.998999999999995,4.1,2.3,1080.0
31,"Congo, Dem. Rep.",0.27699999999999997,48.722,7.6,4.0,310.0
32,"Congo, Rep.",0.523,56.608999999999995,8.1,5.3,2870.0
33,Costa Rica,0.738,79.08,8.4,8.6,10780.0
34,Cote d'Ivoire,0.397,49.224,4.1,2.0,1770.0
35,Croatia,0.7929999999999999,76.35300000000001,11.1,10.8,19040.0
36,Cyprus,0.8370000000000001,79.193,12.3,11.8,30750.0
37,Denmark,0.8909999999999999,78.809,12.8,12.8,38910.0
38,Djibouti,0.425,59.794,5.3,1.8,2450.0
39,Ecuador,0.716,75.396,8.5,8.1,7530.0
40,Egypt,0.638,70.256,7.9,5.3,5890.0
41,El Salvador,0.669,71.643,7.4,6.5,6330.0
42,Equatorial Guinea,0.534,50.915,7.7,4.5,25960.0
43,Estonia,0.828,73.915,11.1,11.7,19230.0
44,Ethiopia,0.353,60.617,2.3,1.0,950.0
45,Fiji,0.685,69.078,9.5,9.2,4590.0
46,Finland,0.877,79.783,11.8,12.3,36270.0
47,France,0.88,81.17,10.5,10.5,34170.0
48,Gabon,0.664,61.896,7.6,5.7,12860.0
49,Gambia,0.413,57.854,3.9,2.0,1860.0
50,Georgia,0.7240000000000001,73.743,12.5,12.5,4700.0
51,Germany,0.9,80.07800038,12.4,12.0,36800.0
52,Ghana,0.527,60.375,7.8,5.2,1530.0
53,Greece,0.863,80.055,10.7,10.1,28670.0
54,Guatemala,0.569,70.783,5.0,3.9,4560.0
55,Guinea,0.341,54.95,3.0,1.0,960.0
56,Guinea-Bissau,0.348,53.34,3.1,1.1,1140.0
57,Guyana,0.624,65.56,9.3,9.4,3240.0
58,Haiti,0.449,61.427,4.7,3.4,1170.0
59,Honduras,0.619,72.53699999999999,5.9,5.7,3690.0
60,Hungary,0.8109999999999999,74.081,11.3,11.1,19270.0
